following_time,hhd,hrd,density,overwhelmed,distracted,impatient,engaged
5,0.75,4,10,0.5,0.152950819672131,0.152950819672131,0.152950819672131
15,0.75,4,10,0.5,0.322063492063492,0.173661971830986,0.152950819672131
25,0.75,4,10,0.5,0.5,0.5,0.152950819672131
35,0.75,4,10,0.5,0.5,0.5,0.152950819672131
0,0.95,4,10,0.5,0.152950819672131,0.152950819672131,0.152950819672131
5,0.95,4,10,0.5,0.152950819672131,0.152950819672131,0.152950819672131
15,0.95,4,10,0.5,0.322063492063492,0.173661971830986,0.152950819672131
25,0.95,4,10,0.5,0.5,0.5,0.152950819672131
35,0.95,4,10,0.5,0.5,0.5,0.152950819672131
0,2,4,10,0.5,0.152950819672131,0.152950819672131,0.152950819672131
5,2,4,10,0.5,0.152950819672131,0.152950819672131,0.152950819672131
15,2,4,10,0.5,0.322063492063492,0.173661971830986,0.152950819672131
25,2,4,10,0.5,0.5,0.5,0.152950819672131
35,2,4,10,0.5,0.5,0.5,0.152950819672131
0,4,4,10,0.5,0.152950819672131,0.152950819672131,0.152950819672131
5,4,4,10,0.5,0.152950819672131,0.152950819672131,0.152950819672131
15,4,4,10,0.5,0.322063492063492,0.173661971830986,0.152950819672131
25,4,4,10,0.5,0.5,0.5,0.152950819672131
35,4,4,10,0.5,0.5,0.5,0.152950819672131
